,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jamie Drysdale,Canada,ANA,19,D,81,4,28,32,16,-26,19:53,17:47,2:03,0:01,4,0,0,1,1,16,12,0,4,1,20,12,0,5,2,37.5%,0.149,1.043,1.192,0.167,0.666,0.833,0.000,4.307,4.307,0.049,0.346,0.395,137,2.9%,40,72,0,0,0.00%
Ryan Donato,United-States,SEA,25,F,74,16,15,31,40,-13,13:47,11:59,1:48,0:00,15,1,0,2,0,15,0,0,3,0,30,1,0,5,0,3.2%,0.940,0.882,1.822,1.015,1.015,2.029,0.450,0.000,0.450,0.216,0.203,0.419,159,10.1%,70,17,15,23,39.47%
Lars Eller,Denmark,WSH,32,F,72,13,18,31,40,-4,16:07,13:19,1:08,1:38,13,0,0,2,1,16,2,0,0,0,29,2,0,2,1,6.5%,0.672,0.931,1.603,0.813,1.000,1.813,0.000,1.454,1.454,0.181,0.250,0.431,116,11.2%,95,36,510,521,49.47%
Denis Guryanov,Russia,DAL,24,F,73,11,20,31,16,2,14:11,12:12,1:58,0:00,7,4,0,2,1,17,3,0,2,0,24,7,0,4,1,22.6%,0.637,1.159,1.796,0.471,1.144,1.615,1.669,1.252,2.921,0.151,0.274,0.425,144,7.6%,67,32,0,0,0.00%
Kevin Hayes,United-States,PHI,29,F,48,10,21,31,26,-20,17:55,14:18,2:42,0:54,8,2,0,1,0,18,2,1,4,1,26,4,1,5,1,12.9%,0.697,1.465,2.162,0.699,1.572,2.271,0.923,0.923,1.846,0.208,0.438,0.646,126,7.9%,36,12,260,347,42.83%
Ivan Provorov,Russia,PHI,24,D,79,9,22,31,34,-20,24:53,19:59,2:14,2:40,8,1,0,1,1,14,6,2,4,2,22,7,2,5,3,22.6%,0.275,0.671,0.946,0.304,0.532,0.836,0.339,2.036,2.376,0.114,0.278,0.392,170,5.3%,74,172,0,0,0.00%
Travis Sanheim,Canada,PHI,25,D,80,7,24,31,34,9,22:58,20:08,0:40,2:08,7,0,0,1,1,24,0,0,3,0,31,0,0,4,1,0.0%,0.229,0.784,1.012,0.261,0.893,1.154,0.000,0.000,0.000,0.088,0.300,0.388,123,5.7%,64,142,0,0,0.00%
Mattias Ekholm,Sweden,NSH,31,D,76,6,25,31,44,14,23:28,18:40,1:32,3:15,6,0,0,1,0,20,4,1,6,2,26,4,1,7,2,12.9%,0.202,0.841,1.042,0.254,0.846,1.099,0.000,2.043,2.043,0.079,0.329,0.408,145,4.1%,79,96,0,0,0.00%
Vladislav Namestnikov,Russia,DAL,29,F,75,16,14,30,45,2,14:39,12:49,0:25,1:23,15,0,1,1,0,13,1,0,3,0,28,1,1,4,0,3.3%,0.874,0.764,1.638,0.936,0.811,1.747,0.000,1.847,1.847,0.213,0.187,0.400,91,17.6%,62,39,26,31,45.61%
Sean Kuraly,United-States,CBJ,28,F,77,14,16,30,61,2,15:51,13:18,0:11,2:21,14,0,0,0,0,14,1,1,2,1,28,1,1,2,1,3.3%,0.688,0.787,1.475,0.820,0.820,1.640,0.000,4.049,4.049,0.182,0.208,0.390,121,11.6%,240,51,627,643,49.37%
Mathieu Joseph,Canada,OTT,24,F,69,12,18,30,29,12,14:11,12:03,0:09,1:59,10,0,2,3,1,16,0,2,2,0,26,0,4,5,1,0.0%,0.735,1.102,1.837,0.721,1.154,1.876,0.000,0.000,0.000,0.174,0.261,0.435,86,14.0%,106,27,20,28,41.67%
Mark Stone,Canada,VGK,29,F,37,9,21,30,8,7,18:20,14:59,2:40,0:40,6,3,0,2,0,17,3,1,3,0,23,6,1,5,0,20.0%,0.796,1.856,2.652,0.649,1.839,2.488,1.817,1.817,3.634,0.243,0.568,0.811,71,12.7%,19,24,13,16,44.83%
Jonas Brodin,Sweden,MIN,28,D,73,5,25,30,18,9,23:26,19:16,1:36,2:32,4,1,0,1,0,18,6,1,9,2,22,7,1,10,2,23.3%,0.175,0.877,1.052,0.170,0.767,0.938,0.509,3.053,3.561,0.068,0.342,0.411,126,4.0%,42,126,0,0,0.00%
Alex Goligoski,United-States,MIN,36,D,72,2,28,30,34,41,18:55,16:34,1:11,1:10,2,0,0,0,0,24,4,0,6,1,26,4,0,6,1,13.3%,0.088,1.233,1.321,0.101,1.207,1.307,0.000,2.800,2.800,0.028,0.389,0.417,80,2.5%,56,96,0,0,0.00%
Derek Grant,Canada,ANA,31,F,71,15,14,29,27,-16,14:18,11:25,0:29,2:24,12,2,1,1,0,13,0,1,1,0,25,2,2,2,0,6.9%,0.886,0.827,1.712,0.888,0.962,1.850,3.478,0.000,3.478,0.211,0.197,0.408,117,12.8%,69,49,204,216,48.57%
Jesperi Kotkaniemi,Finland,CAR,21,F,66,12,17,29,37,3,12:01,10:48,1:11,0:00,12,0,0,3,0,13,4,0,3,0,25,4,0,6,0,13.8%,0.907,1.285,2.193,1.009,1.093,2.102,0.000,3.048,3.048,0.182,0.258,0.439,81,14.8%,74,15,176,168,51.16%
Oliver Ekman-Larsson,Sweden,VAN,30,D,79,5,24,29,52,5,22:19,18:33,1:45,2:00,2,3,0,1,0,17,7,0,3,0,19,10,0,4,0,34.5%,0.170,0.817,0.987,0.082,0.696,0.777,1.302,3.037,4.338,0.063,0.304,0.367,168,3.0%,105,79,0,0,0.00%
Teodors Blueger,Latvia,PIT,27,F,65,9,19,28,10,12,15:01,12:41,0:04,2:14,8,0,1,0,0,18,0,1,0,0,26,0,2,0,0,0.0%,0.553,1.168,1.721,0.582,1.309,1.891,0.000,0.000,0.000,0.138,0.292,0.431,93,9.7%,87,32,357,315,53.13%
Colton Sissons,Canada,NSH,28,F,79,7,21,28,30,2,16:09,12:48,0:26,2:55,6,1,0,0,0,18,3,0,3,0,24,4,0,3,0,14.3%,0.329,0.987,1.316,0.356,1.067,1.423,1.747,5.240,6.987,0.089,0.266,0.354,87,8.1%,188,44,719,573,55.65%
Christopher Tanev,Canada,CGY,32,D,82,6,22,28,22,35,20:27,17:14,0:14,2:57,6,0,0,3,0,22,0,0,2,0,28,0,0,5,0,0.0%,0.215,0.787,1.002,0.255,0.933,1.188,0.000,0.000,0.000,0.073,0.268,0.341,88,6.8%,52,158,0,0,0.00%
Cody Ceci,Canada,EDM,28,D,78,5,23,28,14,8,20:53,18:17,0:02,2:34,5,0,0,0,0,20,0,3,1,0,25,0,3,1,0,0.0%,0.184,0.847,1.031,0.210,0.841,1.051,0.000,0.000,0.000,0.064,0.295,0.359,102,4.9%,117,121,0,0,0.00%
Adam Pelech,Canada,NYI,27,D,78,3,25,28,42,20,21:16,18:47,0:11,2:18,3,0,0,0,0,23,0,2,6,1,26,0,2,6,1,0.0%,0.108,0.904,1.012,0.123,0.941,1.064,0.000,0.000,0.000,0.038,0.321,0.359,104,2.9%,99,128,0,0,0.00%
Ondrej Kase,Czech-Republic,TOR,26,F,50,14,13,27,14,4,13:59,11:50,0:52,1:15,9,4,1,2,0,9,4,0,0,0,18,8,1,2,0,29.6%,1.201,1.116,2.317,0.912,0.912,1.824,5.455,5.455,10.909,0.280,0.260,0.540,119,11.8%,29,32,2,9,18.18%
Patrick Maroon,United-States,TBL,33,F,81,11,16,27,134,20,12:23,11:05,1:17,0:00,8,3,0,0,0,13,3,0,4,0,21,6,0,4,0,22.2%,0.657,0.956,1.613,0.534,0.868,1.402,1.714,1.714,3.429,0.136,0.198,0.333,102,10.8%,160,11,15,15,50.00%
Eric Robinson,United-States,CBJ,26,F,67,10,17,27,18,-1,13:53,11:32,0:01,2:19,8,0,2,1,0,17,0,0,0,0,25,0,2,1,0,0.0%,0.645,1.096,1.740,0.621,1.319,1.940,0.000,0.000,0.000,0.149,0.254,0.403,104,9.6%,95,20,2,2,50.00%
Mathew Dumba,Canada,MIN,27,D,57,7,20,27,47,9,23:05,19:19,1:44,2:01,6,1,0,1,0,16,4,0,4,0,22,5,0,5,0,18.5%,0.319,0.912,1.231,0.327,0.871,1.198,0.604,2.417,3.021,0.123,0.351,0.474,116,6.0%,114,84,0,0,0.00%
Hampus Lindholm,Sweden,BOS,27,D,71,5,22,27,46,10,22:30,19:30,0:57,2:01,4,1,0,1,0,17,4,1,4,2,21,5,1,5,2,18.5%,0.188,0.826,1.014,0.173,0.736,0.910,0.876,3.505,4.381,0.070,0.310,0.380,142,3.5%,70,92,0,0,0.00%
Sean Durzi,Canada,LAK,23,D,64,3,24,27,55,-9,19:35,15:52,2:28,1:15,1,2,0,0,0,10,13,1,3,1,11,15,1,3,1,55.6%,0.144,1.148,1.292,0.059,0.591,0.650,0.758,4.925,5.683,0.047,0.375,0.422,119,2.5%,74,121,0,0,0.00%
Garnet Hathaway,United-States,WSH,30,F,76,14,12,26,57,19,13:23,12:04,0:09,1:09,14,0,0,4,0,11,0,1,2,0,25,0,1,6,0,0.0%,0.826,0.708,1.533,0.915,0.719,1.635,0.000,0.000,0.000,0.184,0.158,0.342,124,11.3%,250,62,10,18,35.71%
Oskar Lindblom,Sweden,PHI,25,F,79,12,14,26,22,-11,13:47,12:25,0:34,0:48,12,0,0,1,0,13,1,0,0,0,25,1,0,1,0,3.8%,0.660,0.771,1.431,0.734,0.795,1.529,0.000,1.325,1.325,0.152,0.177,0.329,127,9.5%,83,48,8,14,36.36%
David Kämpf,Czech-Republic,TOR,26,F,82,11,15,26,20,12,15:15,12:42,0:04,2:29,9,0,2,1,0,13,0,2,2,0,22,0,4,3,0,0.0%,0.527,0.719,1.246,0.518,0.749,1.267,0.000,0.000,0.000,0.134,0.183,0.317,102,10.8%,80,26,616,549,52.88%
Ben Chiarot,Canada,FLA,30,D,74,9,17,26,48,-14,22:50,18:54,0:58,2:57,7,2,0,1,1,15,1,1,2,0,22,3,1,3,1,11.5%,0.319,0.603,0.923,0.300,0.643,0.944,1.653,0.826,2.479,0.122,0.230,0.351,143,6.3%,157,130,0,0,0.00%
Ryan McDonagh,United-States,TBL,32,D,71,4,22,26,16,15,22:26,18:49,0:21,3:15,4,0,0,0,0,21,1,0,4,0,25,1,0,4,0,3.8%,0.151,0.828,0.979,0.180,0.942,1.122,0.000,2.332,2.332,0.056,0.310,0.366,85,4.7%,96,137,0,1,0.00%
